promotion_id,employee_id,promotion_date,old_title,new_title
133,87,2025-11-23,Analyst,Senior Analyst
134,89,2020-10-15,Associate,Senior Analyst
135,89,2021-09-25,Senior Analyst,Senior Analyst
136,89,2022-09-26,Senior Analyst,Senior Developer
137,90,2019-10-18,Senior Analyst,Lead
138,91,2022-07-06,Senior Analyst,Manager
139,91,2023-06-15,Analyst,Lead
140,91,2024-06-05,Analyst,Manager
141,92,2019-01-09,Associate,Senior Analyst
142,93,2023-08-07,Senior Analyst,Manager
143,93,2024-07-08,Analyst,Manager
144,94,2022-05-14,Developer,Senior Developer
145,94,2023-04-14,Associate,Manager
146,96,2021-11-30,Associate,Senior Analyst
147,98,2025-03-29,Associate,Senior Developer
148,98,2026-03-27,Senior Analyst,Manager
149,98,2027-03-24,Analyst,Senior Analyst
150,99,2024-06-17,Developer,Senior Developer
151,100,2021-07-30,Developer,Senior Developer
152,100,2022-07-28,Analyst,Senior Developer
153,101,2019-02-02,Developer,Senior Analyst
154,101,2020-02-18,Analyst,Manager
155,101,2021-02-07,Senior Analyst,Senior Analyst
156,102,2019-03-18,Senior Analyst,Lead
157,102,2020-04-18,Senior Analyst,Manager
158,103,2019-02-06,Senior Analyst,Senior Developer
159,104,2020-03-14,Analyst,Lead
160,104,2021-03-16,Analyst,Manager
161,104,2022-03-01,Senior Analyst,Manager
162,105,2019-02-05,Analyst,Lead
163,106,2023-04-08,Associate,Manager
164,107,2024-05-19,Analyst,Senior Analyst
165,107,2025-05-10,Senior Analyst,Senior Analyst
166,109,2025-07-31,Analyst,Manager
167,110,2021-08-20,Developer,Senior Analyst
168,111,2019-06-07,Associate,Manager
169,112,2019-03-05,Analyst,Manager
170,113,2019-01-19,Developer,Lead
171,114,2022-02-25,Developer,Lead
172,114,2023-02-21,Developer,Manager
173,114,2024-02-16,Associate,Manager
174,115,2024-10-18,Developer,Lead
175,115,2025-11-23,Associate,Senior Developer
176,116,2025-01-24,Developer,Manager
177,117,2019-02-24,Analyst,Lead
178,117,2020-02-23,Senior Analyst,Senior Developer
179,118,2019-02-07,Developer,Lead
180,118,2020-01-15,Senior Analyst,Manager
181,118,2021-01-07,Developer,Senior Developer
182,119,2025-04-27,Senior Analyst,Senior Developer
