employee_id,salary,effective_date,end_date
21,159000,2023-03-06,2024-03-04
21,146500,2024-03-05,2025-03-10
21,164000,2025-03-11,2026-03-03
21,151000,2026-03-04,
22,150000,2021-04-15,2022-04-07
22,159000,2022-04-08,2023-04-09
22,151000,2023-04-10,2024-03-25
22,163000,2024-03-26,2025-04-18
22,179500,2025-04-19,2026-04-11
22,170500,2026-04-12,2027-04-18
22,184000,2027-04-19,
23,80000,2020-03-30,2021-04-12
23,86500,2021-04-13,2022-04-11
23,97000,2022-04-12,2023-04-14
23,89000,2023-04-15,2024-03-29
23,94500,2024-03-30,2025-04-02
23,102000,2025-04-03,
24,120000,2021-01-10,2022-01-13
24,125000,2022-01-14,2023-01-26
24,144000,2023-01-27,2024-01-21
24,132500,2024-01-22,2025-01-28
24,152500,2025-01-29,2026-01-02
24,164500,2026-01-03,2027-01-25
24,189000,2027-01-26,
25,120000,2019-02-08,2020-03-13
25,138000,2020-03-14,2021-03-07
25,138000,2021-03-08,2022-02-27
25,152000,2022-02-28,2023-03-01
25,175000,2023-03-02,2024-03-10
25,161000,2024-03-11,2025-03-14
25,174000,2025-03-15,2026-03-07
25,188000,2026-03-08,
26,75000,2024-06-12,2025-05-12
26,86000,2025-05-13,2026-06-01
26,99000,2026-06-02,2027-05-21
26,94000,2027-05-22,2028-05-18
26,86500,2028-05-19,2029-05-11
26,99500,2029-05-12,
27,100000,2020-03-12,2021-03-15
27,115000,2021-03-16,2022-03-18
27,109000,2022-03-19,2023-03-21
27,109000,2023-03-22,2024-03-25
27,125500,2024-03-26,2025-03-29
27,135500,2025-03-30,2026-04-07
27,152000,2026-04-08,2027-03-30
27,175000,2027-03-31,
28,135000,2019-08-18,2020-08-06
28,140500,2020-08-07,2021-08-20
28,140500,2021-08-21,2022-08-24
28,140500,2022-08-25,2023-08-12
28,151500,2023-08-13,2024-07-24
28,151500,2024-07-25,
29,60000,2020-02-05,2021-01-23
29,63500,2021-01-24,2022-02-06
29,67500,2022-02-07,2023-02-21
29,70000,2023-02-22,
30,60000,2021-02-12,2022-01-29
30,67000,2022-01-30,2023-01-23
30,69500,2023-01-24,2024-01-23
30,76500,2024-01-24,2025-01-18
30,76500,2025-01-19,2026-01-31
30,88000,2026-02-01,2027-02-06
30,95000,2027-02-07,2028-01-16
30,102500,2028-01-17,
31,120000,2020-12-25,2022-01-12
31,125000,2022-01-13,2023-01-10
31,125000,2023-01-11,2023-12-27
31,115000,2023-12-28,
32,110000,2020-01-02,2020-12-12
32,101000,2020-12-13,2021-12-29
32,101000,2021-12-30,2023-01-03
32,96000,2023-01-04,2023-12-14
32,110500,2023-12-15,2024-12-30
32,105000,2024-12-31,2025-12-16
32,120500,2025-12-17,
33,120000,2024-02-27,2025-02-09
33,110500,2025-02-10,2026-02-22
33,105000,2026-02-23,2027-02-19
33,115500,2027-02-20,2028-02-12
33,124500,2028-02-13,
34,65000,2025-03-14,2026-02-28
34,62000,2026-03-01,2027-03-21
34,71500,2027-03-22,2028-03-05
34,71500,2028-03-06,
35,150000,2022-03-09,2023-02-27
35,142500,2023-02-28,2024-02-29
35,159500,2024-03-01,2025-03-03
35,178500,2025-03-04,2026-03-04
35,196500,2026-03-05,2027-03-22
35,196500,2027-03-23,2028-03-19
35,212000,2028-03-20,
36,60000,2024-03-12,2025-03-16
36,55000,2025-03-17,2026-02-28
36,52000,2026-03-01,2027-03-16
36,49500,2027-03-17,
37,50000,2024-09-03,2025-08-29
37,57500,2025-08-30,2026-08-30
37,63500,2026-08-31,2027-09-21
37,71000,2027-09-22,
38,90000,2025-08-27,2026-08-15
38,103500,2026-08-16,2027-08-28
38,116000,2027-08-29,2028-08-14
38,110000,2028-08-15,2029-08-09
38,121000,2029-08-10,2030-08-08
38,130500,2030-08-09,2031-07-30
38,141000,2031-07-31,
39,50000,2019-01-15,2019-12-22
39,54000,2019-12-23,2020-12-23
39,51500,2020-12-24,2021-12-27
39,47500,2021-12-28,2023-01-17
39,52500,2023-01-18,2023-12-16
39,56500,2023-12-17,
40,60000,2020-01-05,2020-12-22
40,66000,2020-12-23,2021-12-11
40,60500,2021-12-12,2022-12-19
40,66500,2022-12-20,2023-12-13
40,66500,2023-12-14,2025-01-14
40,73000,2025-01-15,
41,110000,2023-05-24,2024-04-27
41,110000,2024-04-28,2025-05-27
41,121000,2025-05-28,2026-05-21
41,115000,2026-05-22,2027-05-19
41,129000,2027-05-20,
42,45000,2024-05-04,2025-05-17
42,47000,2025-05-18,2026-04-21
42,54000,2026-04-22,2027-05-18
42,56000,2027-05-19,2028-05-22
42,56000,2028-05-23,
43,55000,2024-04-03,2025-03-16
43,57000,2025-03-17,2026-03-12
43,59500,2026-03-13,2027-04-01
43,68500,2027-04-02,2028-04-03
43,74000,2028-04-04,
44,75000,2019-12-29,2020-12-27
44,82500,2020-12-28,2022-01-05
44,95000,2022-01-06,2022-12-18
44,95000,2022-12-19,2024-01-07
44,99000,2024-01-08,2024-12-11
44,107000,2024-12-12,2025-12-14
44,111500,2025-12-15,2026-12-08
44,120500,2026-12-09,
45,90000,2025-04-24,2026-04-29
45,90000,2026-04-30,2027-05-15
45,85500,2027-05-16,2028-05-26
45,81000,2028-05-27,2029-05-06
45,81000,2029-05-07,
46,65000,2019-12-11,2020-12-20
46,67500,2020-12-21,2021-12-05
46,74000,2021-12-06,2022-12-31
46,80000,2023-01-01,2023-12-18
46,83000,2023-12-19,
47,60000,2021-10-10,2022-10-17
47,63500,2022-10-18,2023-10-04
47,63500,2023-10-05,2024-10-09
47,70000,2024-10-10,2025-11-06
47,77000,2025-11-07,2026-10-27
47,80000,2026-10-28,2027-10-28
47,88000,2027-10-29,2028-10-23
47,97000,2028-10-24,
48,90000,2021-07-05,2022-07-01
48,93500,2022-07-02,2023-07-11
48,93500,2023-07-12,2024-06-29
48,104500,2024-06-30,2025-07-10
48,115000,2025-07-11,2026-06-03
48,119500,2026-06-04,2027-06-16
48,119500,2027-06-17,2028-06-18
48,119500,2028-06-19,
49,80000,2019-01-14,2020-01-08
49,88000,2020-01-09,2020-12-21
49,101000,2020-12-22,2022-01-19
49,96000,2022-01-20,2022-12-15
49,91000,2022-12-16,
50,75000,2019-01-02,2019-12-31
50,78000,2020-01-01,2020-12-20
50,87500,2020-12-21,2022-01-05
50,83000,2022-01-06,2022-12-28
50,95500,2022-12-29,2024-01-14
50,95500,2024-01-15,
51,50000,2019-01-01,2019-12-27
51,56000,2019-12-28,2020-12-17
51,64500,2020-12-18,2022-01-11
51,64500,2022-01-12,2023-01-13
51,61500,2023-01-14,2024-01-05
51,61500,2024-01-06,2024-12-21
51,56500,2024-12-22,
52,100000,2019-01-12,2020-01-20
52,95000,2020-01-21,2020-12-13
52,102500,2020-12-14,2021-12-27
52,94500,2021-12-28,2022-12-18
52,104000,2022-12-19,2024-01-07
52,99000,2024-01-08,
53,45000,2019-01-21,2020-01-18
53,48500,2020-01-19,2020-12-20
53,53500,2020-12-21,2022-01-14
53,53500,2022-01-15,
54,75000,2023-08-23,2024-08-30
54,78000,2024-08-31,2025-09-14
54,81000,2025-09-15,2026-08-25
54,77000,2026-08-26,2027-09-03
54,71000,2027-09-04,2028-09-01
54,81500,2028-09-02,2029-09-14
54,77500,2029-09-15,2030-08-30
54,73500,2030-08-31,
55,55000,2019-10-31,2020-10-17
55,50500,2020-10-18,2021-10-13
55,52500,2021-10-14,2022-10-22
55,60500,2022-10-23,2023-10-26
55,55500,2023-10-27,2024-10-21
55,55500,2024-10-22,2025-10-22
55,61000,2025-10-23,2026-11-10
55,58000,2026-11-11,
56,80000,2019-01-15,2020-01-10
56,89500,2020-01-11,2020-12-31
56,82500,2021-01-01,2022-01-13
56,95000,2022-01-14,2023-01-08
56,106500,2023-01-09,
57,120000,2023-01-04,2024-01-24
57,138000,2024-01-25,2025-01-01
57,158500,2025-01-02,2025-12-20
57,177500,2025-12-21,2027-01-17
57,204000,2027-01-18,
58,110000,2024-02-28,2025-03-20
58,110000,2025-03-21,2026-02-25
58,101000,2026-02-26,2027-03-26
58,113000,2027-03-27,2028-02-23
58,107500,2028-02-24,2029-02-22
58,99000,2029-02-23,2030-03-17
58,99000,2030-03-18,
59,75000,2020-04-06,2021-03-31
59,71000,2021-04-01,2022-04-12
59,79500,2022-04-13,2023-05-05
59,91500,2023-05-06,2024-03-31
59,102500,2024-04-01,
60,75000,2022-02-02,2023-02-21
60,71000,2023-02-22,2024-02-15
60,71000,2024-02-16,2025-02-19
60,74000,2025-02-20,2026-01-26
60,81500,2026-01-27,2027-01-25
60,85000,2027-01-26,2028-02-07
60,88500,2028-02-08,2029-02-19
60,92000,2029-02-20,
61,55000,2025-01-25,2026-01-06
61,55000,2026-01-07,2027-01-25
61,55000,2027-01-26,2028-01-23
61,61500,2028-01-24,2029-01-27
61,70500,2029-01-28,2030-01-13
61,76000,2030-01-14,2031-02-06
61,87500,2031-02-07,
62,110000,2025-07-09,2026-07-07
62,116500,2026-07-08,2027-07-02
62,134000,2027-07-03,2028-08-04
62,144500,2028-08-05,2029-07-27
62,153000,2029-07-28,2030-07-10
62,145500,2030-07-11,2031-08-05
62,160000,2031-08-06,2032-07-24
62,176000,2032-07-25,
63,135000,2019-01-10,2019-12-29
63,124000,2019-12-30,2020-12-20
63,129000,2020-12-21,2022-01-07
63,144500,2022-01-08,
64,65000,2024-03-22,2025-03-08
64,71500,2025-03-09,2026-03-10
64,78500,2026-03-11,2027-02-21
64,90500,2027-02-22,2028-03-10
64,94000,2028-03-11,2029-02-23
64,108000,2029-02-24,2030-03-16
64,121000,2030-03-17,2031-03-16
64,133000,2031-03-17,
65,45000,2019-03-31,2020-03-21
65,45000,2020-03-22,2021-04-09
65,45000,2021-04-10,2022-04-11
65,43000,2022-04-12,2023-03-22
65,46500,2023-03-23,2024-04-10
65,52000,2024-04-11,
66,110000,2025-07-13,2026-08-08
66,121000,2026-08-09,2027-07-08
66,126000,2027-07-09,2028-08-08
66,126000,2028-08-09,2029-07-18
66,119500,2029-07-19,
67,100000,2025-09-28,2026-09-12
67,104000,2026-09-13,2027-09-22
67,116500,2027-09-23,2028-09-29
67,123500,2028-09-30,
68,55000,2019-01-15,2020-01-03
68,50500,2020-01-04,2021-01-11
68,55500,2021-01-12,2021-12-20
68,61000,2021-12-21,2023-01-09
68,67000,2023-01-10,
69,135000,2020-08-07,2021-08-28
69,140500,2021-08-29,2022-08-08
69,151500,2022-08-09,2023-08-24
69,139500,2023-08-25,2024-08-21
69,145000,2024-08-22,2025-08-23
69,145000,2025-08-24,
70,90000,2018-12-19,2020-01-09
70,101000,2020-01-10,2020-12-26
70,116000,2020-12-27,2022-01-19
70,130000,2022-01-20,2022-12-16
70,140500,2022-12-17,2024-01-09
70,140500,2024-01-10,
71,90000,2020-06-13,2021-07-01
71,97000,2021-07-02,2022-05-27
71,92000,2022-05-28,2023-06-11
71,106000,2023-06-12,2024-05-29
71,112500,2024-05-30,2025-05-24
71,112500,2025-05-25,2026-06-10
71,107000,2026-06-11,2027-05-29
71,111500,2027-05-30,
72,90000,2019-09-02,2020-09-16
72,85500,2020-09-17,2021-09-15
72,78500,2021-09-16,2022-09-18
72,83000,2022-09-19,2023-09-18
72,86500,2023-09-19,
73,100000,2019-01-07,2019-12-28
73,100000,2019-12-29,2021-01-02
73,108000,2021-01-03,2022-01-07
73,102500,2022-01-08,2022-12-25
73,115000,2022-12-26,2023-12-16
73,129000,2023-12-17,2025-01-12
73,144500,2025-01-13,
74,75000,2022-06-11,2023-06-05
74,78000,2023-06-06,2024-06-21
74,81000,2024-06-22,2025-06-05
74,81000,2025-06-06,
75,135000,2022-12-23,2023-12-16
75,143000,2023-12-17,2025-01-05
75,154500,2025-01-06,2025-12-04
75,142000,2025-12-05,
76,100000,2024-05-19,2025-05-19
76,112000,2025-05-20,2026-05-14
76,112000,2026-05-15,2027-05-22
76,118500,2027-05-23,2028-05-12
76,109000,2028-05-13,
77,135000,2018-12-23,2019-12-18
77,135000,2019-12-19,2020-12-18
77,135000,2020-12-19,2022-01-01
77,146000,2022-01-02,2023-01-16
77,163500,2023-01-17,2023-12-11
77,173500,2023-12-12,
78,45000,2023-10-09,2024-10-25
78,41500,2024-10-26,2025-10-06
78,43000,2025-10-07,2026-10-29
78,41000,2026-10-30,2027-10-22
78,37500,2027-10-23,2028-11-04
78,39000,2028-11-05,
79,90000,2023-01-12,2024-02-05
79,90000,2024-02-06,2025-01-29
79,99000,2025-01-30,2026-01-25
79,99000,2026-01-26,2026-12-30
79,94000,2026-12-31,2028-01-21
79,108000,2028-01-22,2029-01-01
79,102500,2029-01-02,
80,50000,2020-06-15,2021-06-29
80,53000,2021-06-30,2022-06-13
80,56000,2022-06-14,2023-06-26
80,51500,2023-06-27,2024-06-28
80,59000,2024-06-29,2025-07-16
80,54500,2025-07-17,2026-06-26
80,52000,2026-06-27,
81,100000,2024-04-22,2025-03-31
81,104000,2025-04-01,2026-04-29
81,112500,2026-04-30,2027-04-21
81,107000,2027-04-22,2028-04-07
81,123000,2028-04-08,2029-04-14
81,117000,2029-04-15,2030-04-18
81,134500,2030-04-19,2031-03-30
81,150500,2031-03-31,
82,70000,2022-10-17,2023-10-23
82,74000,2023-10-24,2024-10-29
82,77000,2024-10-30,2025-10-04
82,80000,2025-10-05,2026-10-04
82,92000,2026-10-05,2027-10-05
82,103000,2027-10-06,2028-10-06
82,95000,2028-10-07,
83,100000,2019-10-28,2020-10-26
83,112000,2020-10-27,2021-09-28
83,129000,2021-09-29,2022-10-13
83,148500,2022-10-14,
84,65000,2020-11-03,2021-10-14
84,73000,2021-10-15,2022-10-01
84,67000,2022-10-02,2023-10-08
84,71000,2023-10-09,
85,60000,2023-03-05,2024-03-19
85,55000,2024-03-20,2025-03-20
85,57000,2025-03-21,2026-03-14
85,61500,2026-03-15,2027-03-24
85,56500,2027-03-25,2028-04-04
85,52000,2028-04-05,2029-02-25
85,57000,2029-02-26,
86,55000,2019-06-19,2020-06-19
86,61500,2020-06-20,2021-06-22
86,61500,2021-06-23,2022-06-11
86,65000,2022-06-12,
87,110000,2024-12-14,2025-11-22
87,116500,2025-11-23,2026-12-28
87,116500,2026-12-29,2027-11-23
87,107000,2027-11-24,2028-11-30
87,123000,2028-12-01,2029-12-13
87,117000,2029-12-14,2030-12-08
87,124000,2030-12-09,2031-12-10
87,136500,2031-12-11,
88,135000,2019-01-17,2020-01-18
88,140500,2020-01-19,2020-12-13
88,149000,2020-12-14,2021-12-20
88,149000,2021-12-21,2022-12-15
88,164000,2022-12-16,2024-01-07
88,188500,2024-01-08,
89,100000,2020-09-23,2021-09-20
89,110000,2021-09-21,2022-09-07
89,101000,2022-09-08,2023-09-01
89,113000,2023-09-02,2024-09-20
89,117500,2024-09-21,2025-09-11
89,111500,2025-09-12,2026-09-26
89,122500,2026-09-27,
90,60000,2019-09-07,2020-09-18
90,60000,2020-09-19,2021-08-11
90,65000,2021-08-12,2022-08-30
90,70000,2022-08-31,
91,135000,2022-06-08,2023-06-09
91,151000,2023-06-10,2024-05-28
91,151000,2024-05-29,2025-06-21
91,173500,2025-06-22,2026-06-01
91,184000,2026-06-02,
92,90000,2018-12-26,2020-01-12
92,83000,2020-01-13,2021-01-01
92,86500,2021-01-02,2022-01-04
92,86500,2022-01-05,2023-01-06
92,86500,2023-01-07,2024-01-08
92,90000,2024-01-09,2024-12-29
92,103500,2024-12-30,
93,75000,2023-07-09,2024-06-23
93,82500,2024-06-24,2025-06-04
93,95000,2025-06-05,2026-05-29
93,106500,2026-05-30,2027-06-07
93,101000,2027-06-08,2028-06-19
93,105000,2028-06-20,2029-06-23
93,109000,2029-06-24,2030-06-11
93,125500,2030-06-12,
94,75000,2022-05-05,2023-04-06
94,86000,2023-04-07,2024-04-19
94,96500,2024-04-20,2025-04-14
94,108000,2025-04-15,2026-04-10
94,112500,2026-04-11,2027-05-02
94,117000,2027-05-03,2028-05-02
94,107500,2028-05-03,2029-04-11
94,120500,2029-04-12,
95,120000,2018-12-21,2019-12-26
95,125000,2019-12-27,2020-12-19
95,137500,2020-12-20,2021-12-22
95,146000,2021-12-23,2023-01-17
95,155000,2023-01-18,2023-12-14
95,164500,2023-12-15,
96,80000,2021-11-17,2022-11-17
96,76000,2022-11-18,2023-11-16
96,85000,2023-11-17,2024-11-19
96,95000,2024-11-20,2025-10-19
96,90000,2025-10-20,2026-10-14
96,85500,2026-10-15,2027-11-07
96,94000,2027-11-08,
97,100000,2021-07-25,2022-08-12
97,92000,2022-08-13,2023-07-25
97,101000,2023-07-26,2024-08-18
97,96000,2024-08-19,2025-07-22
97,96000,2025-07-23,2026-08-12
97,105500,2026-08-13,
98,110000,2025-02-19,2026-03-24
98,101000,2026-03-25,2027-03-09
98,96000,2027-03-10,2028-03-21
98,88500,2028-03-22,
99,80000,2024-05-16,2025-04-21
99,89500,2025-04-22,2026-05-17
99,85000,2026-05-18,2027-05-11
99,90000,2027-05-12,
100,80000,2021-06-24,2022-07-08
100,83000,2022-07-09,2023-07-19
100,88000,2023-07-20,2024-06-18
100,95000,2024-06-19,
101,80000,2019-01-14,2020-01-13
101,85000,2020-01-14,2021-01-02
101,95000,2021-01-03,2021-12-28
101,109000,2021-12-29,2023-01-05
101,122000,2023-01-06,2024-01-17
101,122000,2024-01-18,2025-01-18
101,136500,2025-01-19,
102,70000,2019-02-05,2020-03-04
102,80500,2020-03-05,2021-02-15
102,88500,2021-02-16,2022-03-07
102,94000,2022-03-08,
103,50000,2019-01-18,2019-12-20
103,56000,2019-12-21,2020-12-29
103,64500,2020-12-30,2021-12-18
103,67000,2021-12-19,2022-12-29
103,61500,2022-12-30,2024-01-03
103,69000,2024-01-04,
104,110000,2020-02-28,2021-01-29
104,126500,2021-01-30,2022-02-25
104,141500,2022-02-26,2023-01-25
104,158500,2023-01-26,2024-02-12
104,168000,2024-02-13,
105,70000,2019-01-12,2019-12-23
105,75500,2019-12-24,2020-12-18
105,80000,2020-12-19,2021-12-14
105,88000,2021-12-15,2022-12-16
105,81000,2022-12-17,
106,150000,2023-03-18,2024-02-14
106,168000,2024-02-15,2025-03-22
106,178000,2025-03-23,2026-03-21
106,204500,2026-03-22,2027-02-20
106,217000,2027-02-21,2028-02-22
106,230000,2028-02-23,2029-03-10
106,230000,2029-03-11,2030-03-08
106,257500,2030-03-09,
107,80000,2024-05-14,2025-04-22
107,76000,2025-04-23,2026-04-18
107,70000,2026-04-19,2027-04-19
107,77000,2027-04-20,2028-05-03
107,83000,2028-05-04,
108,110000,2019-01-17,2020-01-08
108,104500,2020-01-09,2020-12-28
108,120000,2020-12-29,2022-01-11
108,110500,2022-01-12,2023-01-05
108,117000,2023-01-06,2023-12-22
108,124000,2023-12-23,
109,45000,2025-06-24,2026-06-16
109,41500,2026-06-17,2027-05-30
109,38000,2027-05-31,2028-05-30
109,42000,2028-05-31,2029-05-28
109,44500,2029-05-29,2030-06-09
109,42500,2030-06-10,
110,55000,2021-07-30,2022-07-07
110,59500,2022-07-08,2023-07-30
110,66500,2023-07-31,2024-07-02
110,76500,2024-07-03,2025-07-04
110,88000,2025-07-05,2026-08-02
110,98500,2026-08-03,2027-07-16
110,113500,2027-07-17,2028-07-05
110,127000,2028-07-06,
111,45000,2019-05-26,2020-05-10
111,50500,2020-05-11,2021-05-13
111,53500,2021-05-14,2022-05-06
111,59000,2022-05-07,2023-06-03
111,62500,2023-06-04,
112,80000,2019-01-20,2019-12-11
112,83000,2019-12-12,2020-12-11
112,91500,2020-12-12,2021-12-23
112,97000,2021-12-24,2023-01-14
112,89000,2023-01-15,2024-01-06
112,92500,2024-01-07,2024-12-27
112,100000,2024-12-28,
113,50000,2018-12-15,2019-12-26
113,57500,2019-12-27,2021-01-19
113,54500,2021-01-20,2021-12-14
113,56500,2021-12-15,2023-01-10
113,52000,2023-01-11,2023-12-11
113,48000,2023-12-12,
114,60000,2022-01-27,2023-02-04
114,69000,2023-02-05,2024-01-17
114,77500,2024-01-18,2025-01-31
114,89000,2025-02-01,2026-01-27
114,92500,2026-01-28,2027-02-18
114,103500,2027-02-19,2028-01-20
114,95000,2028-01-21,2029-02-18
114,87500,2029-02-19,
115,90000,2024-10-05,2025-10-27
115,85500,2025-10-28,2026-10-05
115,98500,2026-10-06,2027-10-26
115,108500,2027-10-27,2028-10-03
115,121500,2028-10-04,2029-10-06
115,136000,2029-10-07,2030-10-17
115,141500,2030-10-18,2031-11-08
115,158500,2031-11-09,
116,45000,2025-01-23,2026-02-03
116,50500,2026-02-04,2027-01-11
116,48000,2027-01-12,2028-01-30
116,51000,2028-01-31,2029-01-07
116,53000,2029-01-08,
117,45000,2019-02-15,2020-02-08
117,45000,2020-02-09,2021-02-07
117,45000,2021-02-08,2022-02-15
117,49500,2022-02-16,2023-02-27
117,57000,2023-02-28,2024-02-29
117,54000,2024-03-01,2025-02-10
117,54000,2025-02-11,
118,65000,2019-01-03,2019-12-14
118,73000,2019-12-15,2020-12-27
118,76000,2020-12-28,2022-01-02
118,87500,2022-01-03,2023-01-04
118,83000,2023-01-05,
119,70000,2025-03-24,2026-04-12
119,66500,2026-04-13,2027-04-04
119,61000,2027-04-05,2028-03-28
119,63500,2028-03-29,2029-04-07
119,66000,2029-04-08,2030-04-07
119,70000,2030-04-08,2031-04-14
119,77000,2031-04-15,
120,50000,2025-05-07,2026-05-21
120,55000,2026-05-22,2027-05-20
120,52000,2027-05-21,2028-06-07
120,60000,2028-06-08,2029-05-10
120,57000,2029-05-11,2030-05-22
120,54000,2030-05-23,
1,99999,2022-06-01,2022-09-30
2,88888,2023-02-01,2023-02-28
3,77777,2021-01-01,2021-03-31
