employee_id,salary,effective_date
77,135000,2018-12-23
77,135000,2019-12-19
77,135000,2020-12-19
77,146000,2022-01-02
77,163500,2023-01-17
77,173500,2023-12-12
78,45000,2023-10-09
78,41500,2024-10-26
78,43000,2025-10-07
78,41000,2026-10-30
78,37500,2027-10-23
78,39000,2028-11-05
79,90000,2023-01-12
79,90000,2024-02-06
79,99000,2025-01-30
79,99000,2026-01-26
79,94000,2026-12-31
79,108000,2028-01-22
79,102500,2029-01-02
80,50000,2020-06-15
80,53000,2021-06-30
80,56000,2022-06-14
80,51500,2023-06-27
80,59000,2024-06-29
80,54500,2025-07-17
80,52000,2026-06-27
81,100000,2024-04-22
81,104000,2025-04-01
81,112500,2026-04-30
81,107000,2027-04-22
81,123000,2028-04-08
81,117000,2029-04-15
81,134500,2030-04-19
81,150500,2031-03-31
82,70000,2022-10-17
82,74000,2023-10-24
82,77000,2024-10-30
82,80000,2025-10-05
82,92000,2026-10-05
82,103000,2027-10-06
82,95000,2028-10-07
83,100000,2019-10-28
83,112000,2020-10-27
83,129000,2021-09-29
83,148500,2022-10-14
84,65000,2020-11-03
84,73000,2021-10-15
84,67000,2022-10-02
84,71000,2023-10-09
85,60000,2023-03-05
85,55000,2024-03-20
85,57000,2025-03-21
85,61500,2026-03-15
85,56500,2027-03-25
85,52000,2028-04-05
85,57000,2029-02-26
86,55000,2019-06-19
86,61500,2020-06-20
86,61500,2021-06-23
86,65000,2022-06-12
87,110000,2024-12-14
87,116500,2025-11-23
87,116500,2026-12-29
87,107000,2027-11-24
87,123000,2028-12-01
87,117000,2029-12-14
87,124000,2030-12-09
87,136500,2031-12-11
88,135000,2019-01-17
88,140500,2020-01-19
88,149000,2020-12-14
88,149000,2021-12-21
88,164000,2022-12-16
88,188500,2024-01-08
89,100000,2020-09-23
89,110000,2021-09-21
89,101000,2022-09-08
89,113000,2023-09-02
89,117500,2024-09-21
89,111500,2025-09-12
89,122500,2026-09-27
90,60000,2019-09-07
90,60000,2020-09-19
90,65000,2021-08-12
90,70000,2022-08-31
91,135000,2022-06-08
91,151000,2023-06-10
91,151000,2024-05-29
91,173500,2025-06-22
91,184000,2026-06-02
92,90000,2018-12-26
92,83000,2020-01-13
92,86500,2021-01-02
92,86500,2022-01-05
92,86500,2023-01-07
92,90000,2024-01-09
92,103500,2024-12-30
93,75000,2023-07-09
93,82500,2024-06-24
93,95000,2025-06-05
93,106500,2026-05-30
93,101000,2027-06-08
93,105000,2028-06-20
93,109000,2029-06-24
93,125500,2030-06-12
94,75000,2022-05-05
94,86000,2023-04-07
94,96500,2024-04-20
94,108000,2025-04-15
94,112500,2026-04-11
94,117000,2027-05-03
94,107500,2028-05-03
94,120500,2029-04-12
95,120000,2018-12-21
95,125000,2019-12-27
95,137500,2020-12-20
95,146000,2021-12-23
95,155000,2023-01-18
95,164500,2023-12-15
96,80000,2021-11-17
96,76000,2022-11-18
96,85000,2023-11-17
96,95000,2024-11-20
96,90000,2025-10-20
96,85500,2026-10-15
96,94000,2027-11-08
97,100000,2021-07-25
97,92000,2022-08-13
97,101000,2023-07-26
97,96000,2024-08-19
97,96000,2025-07-23
97,105500,2026-08-13
98,110000,2025-02-19
98,101000,2026-03-25
98,96000,2027-03-10
98,88500,2028-03-22
99,80000,2024-05-16
99,89500,2025-04-22
99,85000,2026-05-18
99,90000,2027-05-12
100,80000,2021-06-24
100,83000,2022-07-09
100,88000,2023-07-20
100,95000,2024-06-19
101,80000,2019-01-14
101,85000,2020-01-14
101,95000,2021-01-03
101,109000,2021-12-29
101,122000,2023-01-06
101,122000,2024-01-18
101,136500,2025-01-19
102,70000,2019-02-05
102,80500,2020-03-05
102,88500,2021-02-16
102,94000,2022-03-08
103,50000,2019-01-18
103,56000,2019-12-21
103,64500,2020-12-30
103,67000,2021-12-19
103,61500,2022-12-30
103,69000,2024-01-04
104,110000,2020-02-28
104,126500,2021-01-30
104,141500,2022-02-26
104,158500,2023-01-26
104,168000,2024-02-13
105,70000,2019-01-12
105,75500,2019-12-24
105,80000,2020-12-19
105,88000,2021-12-15
105,81000,2022-12-17
106,150000,2023-03-18
106,168000,2024-02-15
106,178000,2025-03-23
106,204500,2026-03-22
106,217000,2027-02-21
106,230000,2028-02-23
106,230000,2029-03-11
106,257500,2030-03-09
107,80000,2024-05-14
107,76000,2025-04-23
107,70000,2026-04-19
107,77000,2027-04-20
107,83000,2028-05-04
108,110000,2019-01-17
108,104500,2020-01-09
108,120000,2020-12-29
108,110500,2022-01-12
108,117000,2023-01-06
108,124000,2023-12-23
109,45000,2025-06-24
109,41500,2026-06-17
109,38000,2027-05-31
109,42000,2028-05-31
109,44500,2029-05-29
109,42500,2030-06-10
110,55000,2021-07-30
110,59500,2022-07-08
110,66500,2023-07-31
110,76500,2024-07-03
110,88000,2025-07-05
110,98500,2026-08-03
110,113500,2027-07-17
110,127000,2028-07-06
111,45000,2019-05-26
111,50500,2020-05-11
111,53500,2021-05-14
111,59000,2022-05-07
111,62500,2023-06-04
112,80000,2019-01-20
112,83000,2019-12-12
112,91500,2020-12-12
112,97000,2021-12-24
112,89000,2023-01-15
112,92500,2024-01-07
112,100000,2024-12-28
113,50000,2018-12-15
113,57500,2019-12-27
113,54500,2021-01-20
113,56500,2021-12-15
113,52000,2023-01-11
113,48000,2023-12-12
114,60000,2022-01-27
114,69000,2023-02-05
114,77500,2024-01-18
114,89000,2025-02-01
114,92500,2026-01-28
114,103500,2027-02-19
114,95000,2028-01-21
114,87500,2029-02-19
115,90000,2024-10-05
115,85500,2025-10-28
115,98500,2026-10-06
115,108500,2027-10-27
115,121500,2028-10-04
115,136000,2029-10-07
115,141500,2030-10-18
115,158500,2031-11-09
116,45000,2025-01-23
116,50500,2026-02-04
116,48000,2027-01-12
116,51000,2028-01-31
116,53000,2029-01-08
117,45000,2019-02-15
117,45000,2020-02-09
117,45000,2021-02-08
117,49500,2022-02-16
117,57000,2023-02-28
117,54000,2024-03-01
117,54000,2025-02-11
118,65000,2019-01-03
118,73000,2019-12-15
118,76000,2020-12-28
118,87500,2022-01-03
118,83000,2023-01-05
119,70000,2025-03-24
119,66500,2026-04-13
119,61000,2027-04-05
119,63500,2028-03-29
119,66000,2029-04-08
119,70000,2030-04-08
119,77000,2031-04-15
120,50000,2025-05-07
120,55000,2026-05-22
120,52000,2027-05-21
120,60000,2028-06-08
120,57000,2029-05-11
120,54000,2030-05-23
